"comicName","comicSummary","comicGrade"
"메리고라운드","여고생 스쿨라이프","9.88"
"은규랑누나랑","꽁냥꽁냥 러브스토리","9.83"
"인생막장","정식 연재 협의 중","9.25"
"개시","광해군과 김개시의 政","9.90"
"나를죽이는방법","새드 스릴러","9.90"
"고교생존기","여고 표류기","9.87"
"양치기소년","일요일 연재","9.77"
"셀리아의어린연인","판타지로맨스 코미디","9.85"
"랭커앤랭커","초능력학원물","9.81"
"크리그","마법 판타지 액션","9.83"
"블루랜드","색을 잃고 살아남다","9.90"
"체리블로섬","너를 만나고 싶어","9.89"
"무주의맹시","삼신할미의 저주풀기","9.90"
"평범한이계의여고생","차원이동 여고생","9.91"
"만화유치원","만화가지망생 유치원가다","9.89"
"삶이우리를속일지라도","개그로맨스","9.92"
"별을지나","아이돌 탈출기!!","9.64"
"검은가시","마녀들의 투쟁사","9.86"
"디드롭스(D.drops)","당신이 꿈꾸는 잔혹동화","9.88"
"블러드라이트","에피소드 판타지","9.53"
"한지붕아래","다섯 바보의 이야기","9.91"
"몬스터즈필드","소녀들의 미식축구!","8.97"
"호구와싸가지","마지막 공지","9.89"
"스코칭로맨스","화끈한 개그 로맨스","9.86"
"신","인간이 되어버린 신","9.69"
"#살인스타그램","SNS연쇄살인","9.69"
"러브라이터","러브코미디","9.87"
"에리스","남을 속여야 이긴다","9.37"
"신의태궁","태궁과 도깨비","9.92"
"그녀의버킷리스트","죽기위해 이뤄가는","9.87"
"그남자그남자의사정","보통만화.","9.82"
"게으른고양이의soso한카페이야기","카페운영일상툰","9.84"
"드라코런::Dracorun","드래곤 라이더","9.80"
"공감각자","5.5감 스릴러","9.73"
"용사·마왕·우주인","낙제 용사 이야기","9.90"
"도시소녀귀농기","백수가족 단체귀농!","9.80"
"인절미","인기많은 절미씨","9.85"
"그림자가길어지는시간","25살,여대생","9.86"
"밤의새벽","인육매매마을 소녀","9.84"
"데칼코마니","추적스릴러웹툰","9.65"
"수채화다이어리","수채화로 전해드리는 공감 일상 툰 입니다:)","9.61"
"신별주부전","새로운 토끼와 자라","9.90"
"꿈의왕의꿈","꿈의 왕이 누구야?","9.86"
"애니메이킹","애니메이션 만들기","9.61"
"악마법소녀","마법과 내뱉은 말","9.90"
"고3목마회전인생","고3 타임루프","9.84"
"은근짜릿해","이럴때 은근히 짜릿","9.84"
"학살던전마","학교에서 살아남기","7.66"
"사랑을,너에게","사랑 받고 싶어","9.91"
"거미덫","거미줄에 걸려버렸다","9.82"
"봉봉미엘홍차클럽","홍차와 함께하는 일상 메르헨","9.91"
"미로의정원","판타지","9.93"
"PI(파이)","주라의 신화 이야기","9.75"
"저승찾아한서리","장기휴재","9.81"
"갓!김치","두유 노우 김치맨?","9.22"
"왕지태고교5인방!","5인방 시트콤","9.72"
"진주전","도깨비 판타지","9.87"
"데르탈리즘","원시인이 ★아이돌☆","9.57"
"문카니발","달과 밤 이중생활","9.56"
"나를위한봄","방송부 친구들","8.49"
"플랫다이어리","길고 말 많은 일상툰","9.90"
"같이살아요!","결혼할수 있을까","9.92"
"철수이야기","함께여서 난 좋았어","9.91"
"여왕의자격","로맨스포츠","9.50"
"언메이크","에어 아포칼립스","9.25"
"어나더","판타지 로맨스","9.86"
"블러드문","비극이 낳은 희망","9.74"
"폐급공무원","신종 폐급 공무원","9.53"
"아홉수우리들","우리들 이야기","9.91"
"붉게물들홍","조선 춤꾼들 이야기","9.90"
